Burn_Number	Vol (Liters)
burn18	1.98263
burn45	1.8276201467
burn64	1.9783154923
burn10	2.2228575
burn11	3.5091735
burn14	3.4606416667
burn57	2.7707435139
burn22	4.1883258763
burn43	1.3867638604
burn31	5.0212321183
burn17	1.5894806667
burn25	1.6297334083
burn44	1.7349420063
burn08	4.6753766667
burn09	4.4132333333
burn52	3.7761708116
burn54	4.3763776236
burn12	7.2691666667
burn26	5.8540828125
burn36	6.3914554911
burn20	1.3004983214
burn40	2.1082904446
burn05	2.0426175
burn07	4.7884375
burn42	3.7473843875
burn58	3.2042190654
burn63	4.0463376948
burn21	3.2254422654
burn41	1.7882969004
burn28	3.0971737036
burn30	1.9010509246
burn33	2.8602450054
burn34	3.0703910016
burn19	2.483905203
burn39	3.2596626535
burn03	2.1303583333
burn04	3.0996208333
burn37	2.7097104688
burn59	4.1735504639
burn72	4.0107788972
burn16	4.084743
burn38	2.5052954138
burn13	4.3961166667
burn73	3.1232565467
burn15	2.4438433333
burn23	1.1423833165
burn67	3.980697
burn47	3.4356590413
burn56	4.2319666038
burn51	1.8391756559
