Table S1: Emission Ratios for the Firelab FL16 Data Set ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel type,Fuel component,santene,santolina triene,MT isomer,tricyclene,à-thujene,a-pinene,a-fenchene,camphene,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,sabinene,b-pinene,artemiseole,MT isomer,MT isomer,b-myrcene,MT isomer,a-phellandrene,MT isomer,3-carene,a-terpinene,p-cymene,D-limonene,b-phellandrene,eucalyptol,MT isomer,á-ocimene,á-ocimene_2,C-terpinene,"sabinene hydrate, cis",cis-linalool oxide,MT isomer,MT isomer,terpinolene,trans-linalool oxide,L-fenchone,linalool,à-campholenal,neo-allo-cimene,"limonene oxide, trans-",(+)-nopinone,allocimene,L-pinocarveol,methyl santolinate,L-camphor,pinocarvone,endo-borneol,terpinen-4-ol,terpineol,estragole,myrtenal,myrtenol,fenchyl acetate,cis-chrysanthenol acetate,bornyl acetate,thymol,myrtenyl acetate,á-terpinyl acetate,à-cubebene,SQT isomer,copaene,a-bourbonene,SQT isomer,b-elemene,SQT isomer,longifolene,SQT isomer,SQT isomer,SQT isomer,b-caryophyllene,SQT isomer,SQT isomer,SQT isomer,trans-a-bergamotene,aromandendrene,SQT isomer,humulene,SQT isomer,SQT isomer,SQT isomer,a-selinene,a-bulnesene,cadinene isomer,b-bisabolene,SQT isomer,γ-cadinene,δ-cadinene,humulene,cadinene isomer
Douglas fir,composite,2.14E-05,,,9.70E-05,4.50E-06,1.07E-04,,4.01E-04,,,5.95E-06,,,,3.02E-05,1.91E-05,,,,2.14E-05,,,,3.65E-06,,1.94E-05,1.43E-04,,,,,,,,,,,8.03E-06,,,,,,,,,,,,,,,,,,,,,1.62E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas fir,composite,6.07E-05,,1.33E-05,2.31E-04,,2.14E-04,,6.28E-04,,,2.76E-05,,,,2.02E-06,8.29E-05,,1.35E-06,3.58E-06,7.02E-05,,,8.25E-06,7.38E-06,,3.37E-05,3.32E-04,,,2.94E-06,1.14E-05,2.11E-05,1.68E-06,,,,,9.86E-06,,1.63E-06,2.25E-05,,2.84E-06,2.22E-06,,,,,9.66E-06,,8.00E-06,,2.83E-06,,,,,,3.55E-04,,,,,1.61E-06,,,,,,1.60E-05,,,,,,,,,,,9.52E-07,,,,,,,,,,,,
Douglas fir,composite,3.63E-05,,8.17E-06,1.25E-04,,1.72E-04,,6.08E-04,,,9.16E-06,,,,,6.47E-05,,,,4.53E-05,,,4.94E-06,3.90E-05,,1.89E-05,2.36E-04,,,,8.83E-06,1.16E-05,2.42E-06,,,,,7.24E-06,,,1.90E-05,,3.75E-06,,,,,,5.29E-06,,,,4.18E-06,,,,,,3.84E-04,1.23E-06,,,,,,,,,,9.76E-06,,,,,,,,,,,,,,,,,,,,,,,
Douglas fir,canopy,9.26E-05,,1.68E-05,3.07E-04,,2.37E-04,,1.08E-03,,,2.29E-05,,,,2.94E-06,1.22E-04,,,1.07E-05,8.35E-05,,,7.95E-06,,,2.34E-05,3.88E-04,,,,9.39E-06,1.09E-05,3.08E-06,,,,,1.00E-05,,,1.18E-05,,7.40E-06,,,,,,6.11E-06,,7.31E-06,,,,,,,,4.20E-04,,,,,,,,,,,5.64E-06,,,,,,,,,,,,,,,,,,,,,,,
Douglas fir,litter,,,,1.62E-06,,3.02E-05,,9.36E-06,,,2.23E-06,,,,,1.07E-04,,,,1.98E-05,,,2.33E-06,2.12E-05,,1.65E-05,4.01E-05,,,,,,,,,,,,,,,,,,,,,,,9.33E-06,,,,,5.22E-06,,,,,,,,,,,,,,,2.01E-06,,,,8.32E-07,,,,,,,,7.87E-07,,,,,9.62E-07,,,,,,
Douglas fir,canopy,2.13E-04,,2.60E-05,4.44E-04,1.36E-05,4.93E-04,,1.30E-03,,,3.69E-05,,,,4.49E-05,2.09E-04,,2.26E-05,,1.29E-04,,,1.42E-05,1.26E-05,7.86E-06,5.72E-05,4.74E-04,,,,1.77E-05,6.45E-05,7.34E-06,,,,,,,,1.57E-05,,1.72E-05,,,1.02E-05,,,1.11E-05,,2.11E-05,,,,,,,,5.41E-04,,,,,,,,,,,1.18E-05,,,,,,,,,,,,,,,,,,,,,,,
Douglas fir,composite,3.74E-05,,3.57E-06,9.49E-05,2.99E-06,1.48E-04,,4.57E-04,,,4.34E-06,,,,1.60E-05,3.43E-05,,,,2.46E-05,,,2.62E-06,2.38E-05,,1.54E-05,1.38E-04,,,,3.29E-06,4.01E-06,,,,,,7.32E-06,,,,,,,,,,,3.40E-06,,4.48E-06,,,,,,,,2.42E-04,,,,,,,,,,,4.68E-06,,,,,,,,,,,,,,,,,,,,,,,
Douglas fir,canopy,9.89E-05,,2.24E-05,2.91E-04,1.24E-05,2.42E-04,,4.72E-04,,,3.29E-05,,,,1.16E-04,9.99E-05,,,2.23E-05,9.12E-05,,,1.11E-05,1.78E-05,6.51E-06,5.08E-05,3.43E-04,,,3.93E-06,1.40E-05,5.80E-05,6.81E-06,,,,,5.97E-05,1.21E-06,,1.21E-05,,6.91E-06,,,3.80E-06,,,9.51E-06,,1.35E-05,4.77E-06,4.48E-06,,,,,,4.25E-04,,,,,5.80E-07,,,,,,8.16E-06,,,,,,,,,,,,,,,,,,,,,,,
Engelmann spruce,composite,,,,4.95E-06,,,,1.42E-05,,,,,,,,,,,,1.27E-05,,,,,,1.64E-05,1.19E-05,,,,,,1.41E-06,,,,,,,,,,,,,,,,1.30E-05,,,,,,,,,,1.29E-05,9.59E-07,,,,,,,,,,3.52E-06,,,,,,,,,,,,,,,,,,,3.51E-06,,,,
Engelmann spruce,composite,,,,5.53E-06,,,,1.53E-05,,,,,,,,2.00E-05,,,,2.00E-05,,,,4.46E-06,,2.25E-05,1.66E-05,2.65E-05,,,,,,,,,,,,,,,,,,,,,1.25E-05,,,,,,,,,,9.86E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
